#### starting bruteforce 
This is s2025396 and my the job has the ID 2167482
This job was submitted from /data1/s2025396/QRL-Thesis and i am currently in /home/s2025396/data1/QRL-Thesis
[/bin/bash] ## Run script
Parameters are: n_guesses 10, n_holes 5, env givens, b1 gx, t1 3.141592653589793, b2 gy, t2 1.5707963267948966
1: 1.8000 [0], 0.00, 1                                                                                                             
2: 2.4000 [1 0], 0.00, 2                                                                                                             
3: 2.8000 [1 1 0], 0.00, 3                                                                                                             
4: 3.0000 [3 1 1 0], 0.02, 4                                                                                                             
5: 3.0000 [3 3 1 1 0], 0.09, 5                                                                                                             
6: 3.0000 [3 3 1 1 0 0], 0.52, 6                                                                                                             
7: 3.0000 [3 3 1 1 0 0 0], 2.83, 7                                                                                                             
8: 3.0000 [3 3 1 1 0 0 0 0], 15.51, 8                                                                                                             
9: 3.0000 [3 3 1 1 0 0 0 0 0], 83.71, 9                                                                                                             
10: 3.0000 [3 3 1 1 0 0 0 0 0 0], 452.66, 10                                                                                                             
[/bin/bash] ## Finished
