#### starting bruteforce 
This is s2025396 and my the job has the ID 2167386
This job was submitted from /data1/s2025396/QRL-Thesis and i am currently in /home/s2025396/data1/QRL-Thesis
[/bin/bash] ## Run script
/cm/local/apps/slurm/var/spool/job2167386/slurm_script: line 19: deactivate: command not found
Parameters are: n_guesses 10, n_holes 5, env givens, b1 gy, t1 0.7853981633974483, b2 gx, t2 0.7853981633974483
1: 1.8000 [0], 0.00, 1                                                                                                             
2: 2.3000 [0 3], 0.00, 2                                                                                                             
3: 2.5086 [2 1 3], 0.00, 3                                                                                                             
4: 2.6109 [2 1 3 3], 0.02, 4                                                                                                             
5: 2.6341 [2 1 3 3 0], 0.09, 5                                                                                                             
6: 2.6407 [2 1 3 3 0 3], 0.52, 6                                                                                                             
7: 2.6446 [2 1 3 3 0 3 1], 2.86, 7                                                                                                             
8: 2.6465 [2 1 3 3 0 3 4 0], 15.56, 8                                                                                                             
9: 2.6470 [2 1 3 3 0 3 4 0 2], 84.45, 9                                                                                                             
10: 2.6472 [2 1 3 3 0 3 4 0 2 2], 460.15, 10                                                                                                             
[/bin/bash] ## Finished
