#### starting bruteforce 
This is s2025396 and my the job has the ID 2165550
This job was submitted from /data1/s2025396/QRL-Thesis and i am currently in /home/s2025396/data1/QRL-Thesis
[/bin/bash] ## Run script
/cm/local/apps/slurm/var/spool/job2165550/slurm_script: line 19: deactivate: command not found
1: 1.8000 [2], 0.00, 4                                                                                                             
2: 2.3000 [1 1], 0.00, 24                                                                                                             
3: 2.6000 [4 1 1], 0.00, 124                                                                                                             
4: 2.7750 [3 3 1 1], 0.01, 624                                                                                                             
5: 2.8625 [3 1 1 3 0], 0.07, 3124                                                                                                             
6: 2.8938 [1 1 3 3 1 1], 0.36, 15624                                                                                                             
7: 2.9156 [1 3 3 1 1 3 0], 1.95, 78124                                                                                                             
8: 2.9234 [3 3 1 1 3 3 1 1], 10.46, 390624                                                                                                             
9: 2.9289 [3 1 1 3 3 1 1 3 0], 51.18, 1953124                                                                                                             
10: 2.9309 [1 1 3 3 1 1 3 3 1 1], 270.57, 9765624                                                                                                             
[/bin/bash] ## Finished
